0.534 pkt: 165 | retransmitted
0.535 ACK: 164 | received
0.536 ACK: 164 | received
0.536 pkt: 164 | 3 duplicated ACKs
0.536 pkt: 165 | retransmitted
0.536 ACK: 164 | received
0.539 ACK: 164 | received
0.539 pkt: 164 | 3 duplicated ACKs
0.539 pkt: 165 | retransmitted
0.539 ACK: 164 | received
0.541 ACK: 164 | received
0.541 pkt: 164 | 3 duplicated ACKs
0.541 pkt: 165 | retransmitted
0.541 ACK: 164 | received
0.543 ACK: 164 | received
0.543 pkt: 164 | 3 duplicated ACKs
0.543 pkt: 165 | retransmitted
0.544 ACK: 164 | received
0.545 ACK: 164 | received
0.545 pkt: 164 | 3 duplicated ACKs
0.545 pkt: 165 | retransmitted
0.546 ACK: 164 | received
0.547 ACK: 164 | received
0.547 pkt: 164 | 3 duplicated ACKs
0.547 pkt: 165 | retransmitted
0.549 ACK: 164 | received
0.550 ACK: 164 | received
0.550 pkt: 164 | 3 duplicated ACKs
0.550 pkt: 165 | retransmitted
0.551 ACK: 164 | received
0.552 ACK: 196 | received
0.552 pkt: 197 | sent
0.552 pkt: 198 | sent
0.552 pkt: 199 | sent
0.552 pkt: 200 | sent
0.552 pkt: 201 | sent
0.552 pkt: 202 | sent
0.552 pkt: 203 | sent
0.552 pkt: 204 | sent
0.552 pkt: 205 | sent
0.552 pkt: 206 | sent
0.553 pkt: 207 | sent
0.553 pkt: 208 | sent
0.553 pkt: 209 | sent
0.553 pkt: 210 | sent
0.553 pkt: 211 | sent
0.553 pkt: 212 | sent
0.553 pkt: 213 | sent
0.553 pkt: 214 | sent
0.553 pkt: 215 | sent
0.553 pkt: 216 | sent
0.553 pkt: 217 | sent
0.553 pkt: 218 | sent
0.553 pkt: 219 | sent
0.553 pkt: 220 | sent
0.553 pkt: 221 | sent
0.553 pkt: 222 | sent
0.553 pkt: 223 | sent
0.553 pkt: 224 | sent
0.554 pkt: 225 | sent
0.554 pkt: 226 | sent
0.554 pkt: 227 | sent
0.554 pkt: 228 | sent
0.554 ACK: 196 | received
0.555 ACK: 196 | received
0.555 pkt: 196 | 3 duplicated ACKs
0.555 pkt: 197 | retransmitted
0.556 ACK: 196 | received
0.556 ACK: 196 | received
0.556 pkt: 196 | 3 duplicated ACKs
0.556 pkt: 197 | retransmitted
0.558 ACK: 196 | received
0.559 ACK: 196 | received
0.559 pkt: 196 | 3 duplicated ACKs
0.559 pkt: 197 | retransmitted
0.561 ACK: 196 | received
0.561 ACK: 196 | received
0.561 pkt: 196 | 3 duplicated ACKs
0.561 pkt: 197 | retransmitted
0.563 ACK: 196 | received
0.564 ACK: 196 | received
0.564 pkt: 196 | 3 duplicated ACKs
0.564 pkt: 197 | retransmitted
0.565 ACK: 196 | received
0.567 ACK: 196 | received
0.567 pkt: 196 | 3 duplicated ACKs
0.567 pkt: 197 | retransmitted
0.568 ACK: 196 | received
0.572 ACK: 196 | received
0.572 pkt: 196 | 3 duplicated ACKs
0.572 pkt: 197 | retransmitted
0.575 ACK: 197 | received
0.575 pkt: 229 | sent
0.576 ACK: 198 | received
0.576 pkt: 230 | sent
0.576 ACK: 199 | received
0.576 pkt: 231 | sent
0.577 ACK: 200 | received
0.577 pkt: 232 | sent
0.577 ACK: 201 | received
0.577 pkt: 233 | sent
0.579 ACK: 202 | received
0.579 pkt: 234 | sent
0.579 ACK: 203 | received
0.579 pkt: 235 | sent
0.581 ACK: 204 | received
0.581 pkt: 236 | sent
0.582 ACK: 205 | received
0.583 pkt: 237 | sent
0.583 ACK: 206 | received
0.583 pkt: 238 | sent
0.587 ACK: 207 | received
0.587 pkt: 239 | sent
0.587 ACK: 208 | received
0.587 pkt: 240 | sent
0.587 ACK: 209 | received
0.587 pkt: 241 | sent
0.587 ACK: 210 | received
0.588 pkt: 242 | sent
0.589 ACK: 211 | received
0.589 pkt: 243 | sent
0.592 ACK: 213 | received
0.592 pkt: 244 | sent
0.592 pkt: 245 | sent
0.592 ACK: 214 | received
0.592 pkt: 246 | sent
0.593 ACK: 215 | received
0.594 pkt: 247 | sent
0.595 ACK: 216 | received
0.596 pkt: 248 | sent
0.596 ACK: 217 | received
0.596 pkt: 249 | sent
0.598 ACK: 218 | received
0.598 pkt: 250 | sent
0.598 ACK: 219 | received
0.598 pkt: 251 | sent
0.599 ACK: 220 | received
0.599 pkt: 252 | sent
0.600 ACK: 221 | received
0.600 pkt: 253 | sent
0.602 ACK: 222 | received
0.602 pkt: 254 | sent
0.602 ACK: 223 | received
0.602 pkt: 255 | sent
0.604 ACK: 224 | received
0.605 pkt: 256 | sent
0.605 ACK: 225 | received
0.605 pkt: 257 | sent
0.606 ACK: 226 | received
0.606 pkt: 258 | sent
0.608 ACK: 227 | received
0.608 pkt: 259 | sent
0.608 ACK: 228 | received
0.608 pkt: 260 | sent
0.610 ACK: 228 | received
0.610 ACK: 228 | received
0.610 pkt: 228 | 3 duplicated ACKs
0.610 pkt: 229 | retransmitted
0.612 ACK: 228 | received
0.613 ACK: 228 | received
0.613 pkt: 228 | 3 duplicated ACKs
0.613 pkt: 229 | retransmitted
0.615 ACK: 228 | received
0.615 ACK: 228 | received
0.615 pkt: 228 | 3 duplicated ACKs
0.615 pkt: 229 | retransmitted
0.617 ACK: 228 | received
0.617 ACK: 229 | received
0.617 pkt: 261 | sent
0.619 ACK: 230 | received
0.619 pkt: 262 | sent
0.619 ACK: 231 | received
